folio,provincia,comuna,expr,pobreza_multi,s13,s16,s17,s19a,s19b,s19c,s19d,s19e,s2,v2,v3,v4,v5,v6,v7,v12,v13
100020301,131,13127,264,0,1,4,2,,,,,,,2,2,1,1,3,2,3,1
100020401,131,13127,295,0,1,5,,,,,,,,2,1,1,1,3,1,4,2
100020501,131,13127,373,0,1,2,1,2,2,2,1,2,,3,3,5,3,3,3,3,3
100020801,131,13127,266,0,1,5,,,,,,,,2,2,1,1,3,1,4,1
100070201,22,2203,72,0,1,5,,,,,,,,2,1,2,1,3,1,2,1
100070501,22,2203,59,1,1,2,2,,,,,,,2,1,5,2,3,2,2,1
100070601,22,2203,58,,1,5,,,,,,,,3,1,2,1,3,1,4,1
100070801,22,2203,49,0,1,5,,,,,,,,1,1,2,1,3,1,2,2
100160301,131,13103,165,0,1,5,,,,,,,,3,2,1,2,3,1,4,3
100160401,131,13103,156,1,1,2,1,2,2,2,2,2,,2,2,2,2,3,1,4,1
100160501,131,13103,192,1,1,5,,,,,,,,3,2,5,2,3,2,4,10
100160601,131,13103,134,0,1,2,1,2,2,1,2,2,,3,2,2,2,4,2,3,1
100160701,131,13103,168,0,1,2,1,2,2,2,2,2,,3,2,2,1,3,2,5,10
100160801,131,13103,137,0,1,2,1,2,2,2,1,2,,2,2,2,2,3,1,3,1
100200201,81,8110,106,0,1,2,2,,,,,,,1,1,3,1,2,1,3,1
100200701,81,8110,102,0,1,5,,,,,,,,3,2,2,1,3,2,4,9
100200801,81,8110,101,1,1,5,,,,,,,,4,3,1,3,3,3,3,9
100240201,41,4101,94,0,1,5,,,,,,,,2,1,2,1,4,1,5,2
100240301,41,4101,155,0,1,5,,,,,,,,2,1,1,1,1,1,5,2
100240401,41,4101,89,0,1,2,1,2,1,1,1,1,,2,1,2,1,3,1,4,1
100240801,41,4101,85,0,2,5,,,,,,,,2,1,2,1,1,1,6,1
100280101,81,8110,88,0,1,5,,,,,,,,2,2,2,3,4,3,2,1
100280201,81,8110,68,0,1,2,1,2,2,2,2,2,,2,1,2,1,3,2,3,1
100280301,81,8110,79,0,1,5,,,,,,,,2,2,2,3,4,2,4,9
100280501,81,8110,66,0,1,2,1,2,2,2,2,2,,3,3,1,1,3,1,5,1
100280601,81,8110,112,0,1,2,1,2,2,2,2,2,,3,2,2,1,3,1,4,9
